episode,rewards_total2
1,-152.977833323
2,-152.449822144
3,-302.942645249
4,-52.8532079407
5,-21.1266494381
6,-37.1988661289
7,-48.5317901528
8,-39.0861697838
9,-51.988221329
10,-44.6921980603
11,-44.7860532136
12,-10.5762984847
13,-10.8665456349
14,-37.6964373525
15,-33.1246965407
16,-57.0166344487
17,-36.9499332599
18,-33.9206829436
19,-30.0195582484
20,-35.5649657892
21,-60.8609892675
22,-48.4582771179
23,-38.091664304
24,-39.8088402972
25,-45.9335897179
26,-43.5581199382
27,-31.8003821436
28,-39.6802126215
29,-27.8252789269
30,-28.860633508
31,-21.6342427576
32,-32.6718319157
33,-14.90400149
34,-22.5981299825
35,-45.4287389886
36,-53.3098225806
37,-40.3586526709
38,-47.1413918358
39,-75.5032428873
40,-192.819636814
41,-745.136447121
42,-593.241121465
43,-38.9705663729
44,-8.8345997817
45,-34.6429585205
46,-11.5668569874
47,-278.644371043
48,-42.3501549772
49,-76.6049871366
50,-20.1902303551
51,-25.439480582
52,-22.0886202245
53,-29.2231515714
54,-51.0133783943
55,-50.1987744668
56,-25.2526762576
57,-37.1705668234
58,-66.3483546162
59,-24.7112025459
60,-27.3794161581
61,-4.94605613954
62,-49.2445535413
63,-1802.73825243
64,-458.861693917
65,-467.93503921
66,-6.28395503525
67,-1.04716746834
68,-21.8084660048
69,-9.23068535363
70,-131.017011956
71,-254.451569568
72,-204.490565248
73,-38.8381002175
74,-2491.34979121
75,-2351.6385727
76,-2450.19530008
77,-2542.5195607
78,-2522.25059061
79,-22.2754374963
80,-131.947856274
81,-151.153085915
82,-73.4556663702
83,-51.9132343111
84,-29.5860265633
85,-25.3863379164
86,-43.9848945528
87,-110.214335221
88,-134.851701765
89,-48.0599721249
90,-331.008495989
91,-3013.37754371
92,-2908.00357843
93,-2396.2100392
94,-2923.67764076
95,-59.7678392248
96,-24.1413696001
97,-17.9506148461
98,-15.5171614214
99,-52.1102227473
100,-17.3364426272
101,-28.8997959297
102,-27.8588353717
103,-28.9435052201
104,-20.6725869074
105,-26.8049303903
106,-26.9135073662
107,-20.2274445398
108,-35.657688292
109,-20.2203089043
110,-12.3488805421
111,-35.6761573359
112,-21.9710299048
113,-19.6965708626
114,-27.9585915122
115,-22.8311179158
116,-29.0827832524
117,-21.5367681822
118,-26.4154083342
119,-31.4546468748
120,-23.8888063547
121,-15.0248306019
122,-20.1966403257
123,-23.0249562444
124,-31.0538993677
125,-23.6348317303
126,-25.2385889823
127,-19.555577632
128,-41.4111300265
129,-22.5835743666
130,-24.0405119872
131,-25.7635594688
132,-30.1369264935
133,-20.7720111646
134,-18.4804246206
135,-13.6259086325
136,-26.3246501526
137,-6.41941482365
138,-28.5575124863
139,-30.7671357577
140,-32.2920019414
141,-38.8579077547
142,-30.3498022722
143,-17.8198027262
144,-19.3424363455
145,-21.7609978455
146,-7.6098198975
147,-15.5454948867
148,-22.848072342
149,-24.1640797991
150,-23.2232406198
151,-26.6595940571
152,-23.3030843752
153,-14.9076059107
154,-21.9998894209
155,-4.58550551646
156,6.97779897053
157,-3.99714752131
158,0.205536228296
159,-11.0039929026
160,-31.6730140475
161,-10.232891821
162,-27.416395612
163,-8.19327673844
164,-2171.91572358
165,-2637.63011039
166,-2596.24931342
167,-2275.20819691
168,-2503.20996439
169,-2156.78851355
170,-2224.71939135
171,-2750.51942194
172,-2506.63696652
173,-2497.82567141
174,-2551.89198184
175,-2263.43765155
176,-2251.83119644
177,-2.6061339951
178,-8.82842751006
179,-20.2140905083
180,-1250.24699464
181,-21.0424810896
182,-22.9188307356
183,-12.7454614594
184,-26.8943023253
185,-20.2940693545
186,-22.038835112
187,-20.9180688887
188,-21.6438585229
189,-37.2598762509
190,-19.0888042281
191,-29.6795750233
192,-19.720768316
193,-18.4986562695
194,-24.9603400496
195,-34.3142080774
196,-31.8840684948
197,-24.7563371279
198,-19.2449105264
199,-25.047003527
200,-21.1238336122
201,-21.5862143851
202,-30.4484310837
203,-18.5182938554
204,-23.1396028643
205,-24.3307016182
206,-27.2010939254
207,-23.4955591779
208,-25.2131155718
209,-20.2549060621
210,-19.4020213214
211,-22.3722906446
212,-26.1236813825
213,-18.2368148968
214,-22.3978985134
215,-18.9764900213
216,-21.3816375782
217,-20.3218098934
218,-18.8105326788
219,-19.7555737876
220,-19.8842430423
221,-30.0718499908
222,-22.0797084173
223,-22.9745298064
224,-25.5328904163
225,-23.53475449
226,-19.2442241726
227,-18.1803358087
228,-21.8372646829
229,-36.5700429921
230,-24.4335180161
231,-28.4859761165
232,-27.2622954417
233,-19.2843522677
234,-24.8282549465
235,-22.8286204378
236,-26.9479568844
237,-39.9013742206
238,-19.6420201884
239,-38.2743682073
240,-18.7563298832
241,-25.3353889342
242,-20.5910041672
243,-22.442502653
244,-26.7287310972
245,-33.1174967872
246,-20.7886227465
247,-34.4720450882
248,-35.5068053645
249,-33.7962984512
250,-19.3766809452
251,-26.293211678
252,-23.9605536312
253,-29.6286758639
254,-11.4987498828
255,-24.1920933547
256,-35.1950532337
257,-11.1215808952
258,-31.5349843382
259,-26.5720358114
260,-21.8448644945
261,-23.3572655236
262,-18.5478391589
263,-27.2551512894
264,-21.2549550404
265,-21.2002379453
266,-19.4808202183
267,-19.0563265013
268,-37.228371049
269,-23.012782188
270,-25.4483879328
271,-22.1042729195
272,-31.7898999854
273,-21.9424014929
274,-21.0688222002
275,-24.976403205
276,-31.2717927832
277,-24.4723573176
278,-22.7795663278
279,-19.6348651773
280,-23.8283552006
281,-29.9925893839
282,-28.3104199857
283,-370.973490519
284,-330.983344422
285,-251.938735686
286,-23.6961538211
287,-98.5940289637
288,-585.570553396
289,-833.265289959
290,-1092.93792254
291,-1089.02338448
292,-848.064789917
293,-987.615802557
294,-1158.43725666
295,-1472.08015099
296,-1063.37949602
297,-829.437332048
298,-687.657660571
299,-378.406268166
300,-78.8726067396
301,-22.8622110672
302,-1239.89034421
303,-17.7854536639
304,-553.529923883
305,-1285.84524089
306,-1570.52540664
307,-1948.1563648
308,-1516.87419959
309,-1904.72629947
310,-1662.4504704
311,-630.131448794
312,-66.3202746414
313,-178.858000662
314,-964.219351732
315,-114.434542446
316,-68.728191132
317,-2014.77869589
318,-270.469498888
319,-72.5773485116
320,-68.1684319686
321,-73.8729290033
322,-70.1831189028
323,-66.4823170882
324,-72.8417197563
325,-70.2076936159
326,-71.4377554284
