time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,9.89288807965885e-08,4.489744927886175e-07,10.005915863430157,0.0003522690404302864,6.282925358307388,0.0,1.6293592058251493e-05,3.782578137677337e-05,0.19718131438916092,0.015588858164688508,-0.014830923131442424,0.0,467.9195085617485,466.76380350185445,465.48332239987775,466.7013485266454
0.12000000000000001,1.1545145535661141e-05,1.637348328086467e-05,10.025491772071627,0.001531076588149105,6.282287794115831,0.0,0.00045962423671594334,0.0006268354522828699,0.4552813962636274,0.026728091777449826,-0.0033204519097192187,0.0,484.411170282968,485.27594052707633,483.8228020156125,484.6605339069546
0.18,5.818139569213177e-05,9.182055077581523e-05,10.055850968235687,0.0027536910579577523,6.282358589274967,0.0,0.0011001627323113947,0.0020372313174230306,0.5566470238521632,0.002973353880551059,0.008930530937026105,0.0,436.78674849962334,437.8070819016637,438.8257776980731,436.8497643532689
0.23999999999999996,0.0001382096581137557,0.00027119248615217403,10.092128097055099,0.002708063388902282,0.00039922576055317904,0.0,0.0014714747098478675,0.003949746302363789,0.6525402535146946,-0.009531849674625285,0.03691070019312458,0.0,434.8235661238343,437.1609478666249,436.39717378831006,435.35226870982774
0.3,0.0002072005783183595,0.000570542235634808,10.1375929830745,0.0017596023832258112,0.0023518153840322853,0.0,0.0005795605121124616,0.005943665183087481,0.8628206637394044,-0.03291479117364056,0.02194303308970957,0.0,472.3596519983129,471.20447310001254,471.239496351794,469.4288291412104
0.36000000000000004,0.0001767416223886065,0.0009627467732876106,10.196845043695188,6.282430483118964,0.0036446195962271943,0.0,-0.00175623088041785,0.006868316301408677,1.112039079208143,-0.07384112979019458,0.02074220314598582,0.0,483.41591929077697,483.325401525473,483.5770541927433,480.4834484799085
0.4200000000000001,-1.2415114758764188e-05,0.00134078690069045,10.267499215169702,6.2776651064079,0.005016522284982727,0.0,-0.004688226660470012,0.005246779853214838,1.2429648790970664,-0.09394686829548936,0.026804064673523528,0.0,446.88426830503573,447.378094693516,449.3890935434368,447.7513668935004
0.48000000000000015,-0.0003985463696901459,0.001526351034644383,10.344095021180369,6.271780083323769,0.0068958381466552865,0.0,-0.008353038669187587,0.00038114135127477813,1.310148730585858,-0.10799448493703613,0.039096867731166995,0.0,427.4329059112008,428.47951585374614,428.50518146592844,427.30066200547594
0.5400000000000001,-0.0010547860316907805,0.0012835728538265158,10.426145680084044,6.265603613433743,0.009577967192742953,0.0,-0.013784422030200128,-0.00912949785668669,1.4247262658681503,-0.09438544332695417,0.05404713095879159,0.0,442.1597806154275,443.39073119084424,443.1402713766934,444.24809701858413
0.6000000000000002,-0.002092656169033478,0.0003500250045720796,10.514675358632733,6.259933325806795,0.012416379716128745,0.0,-0.021126383259187025,-0.022565400072111455,1.5261180453476821,-0.09474438886701797,0.02831306043827525,0.0,440.460096979483,438.3281632756475,439.4405291849429,439.4030830032075
0.6600000000000003,-0.00358790451129218,-0.0014383983237604128,10.606463099443095,6.254404112363197,0.014070609247833765,0.0,-0.028863197415606067,-0.03754299408230392,1.5334485632310504,-0.08742226681090498,0.026042638630216646,0.0,409.4789088436239,409.2771612713989,408.08673641165564,408.7317479122112
0.7200000000000003,-0.005639271052954428,-0.004353141045861425,10.70305842712152,6.248999404939163,0.015290017412278978,0.0,-0.03966937227023577,-0.060192622446929786,1.6861617750884397,-0.09599990450803518,0.005301089407544332,0.0,456.3505110428525,454.6919892088661,456.29697203681326,455.6051429658756
0.7800000000000004,-0.008392320535680809,-0.008820389596614324,10.810848074610696,6.243616320402193,0.015581721793575198,0.0,-0.05213030283224802,-0.08936824745732862,1.9064594468696094,-0.07944588103013993,0.003968187098887072,0.0,476.2600999359054,476.1580609268711,475.9939862916682,477.25278051487726
0.8400000000000004,-0.011893046592005548,-0.015145376701145817,10.931389346481632,6.2394277489732115,0.0161844790264567,0.0,-0.06460700672700288,-0.1219706254716551,2.1112030470497594,-0.05537419484068814,0.02004718232295007,0.0,471.72995989303917,472.9697527006992,471.9519733630561,473.8025152740839
0.9000000000000005,-0.01606216966117381,-0.02325497359228591,11.058225536961018,6.236130492640232,0.017087219192619685,0.0,-0.07445865869624921,-0.14864017056466627,2.116642427303201,-0.05412770908422205,0.0024678151556105045,0.0,411.0388739582753,409.47799855980355,410.7865926903542,410.8948097335724
0.9600000000000005,-0.020913712138551834,-0.033239721433149017,11.189926052730943,6.233043948837633,0.017815816998333567,0.0,-0.08730817128274362,-0.18451968409482875,2.273055228680735,-0.04655189234055017,0.0266294170291443,0.0,457.908717220943,459.8265847288423,458.85664840000595,459.4560154760936
1.0200000000000005,-0.026554190489303683,-0.04543196873726672,11.330766249155772,6.230602156530697,0.019999309423701206,0.0,-0.10091426663552404,-0.2221569403839032,2.4212923991306736,-0.03100332405297322,0.05097362389121607,0.0,456.1957672220859,458.13594732327635,456.6132427994023,457.85104164710157
1.0800000000000005,-0.03298958395049236,-0.059739684427865716,11.476854081037176,6.22818497169429,0.02309348951878043,0.0,-0.11387857869659042,-0.2549447295421472,2.4482239056191095,-0.07490349322191486,0.05273545459003949,0.0,419.70422036164956,419.85898154682246,420.7107847303766,416.89095067538125
1.1400000000000006,-0.04032822254177127,-0.07622894629060104,11.6274152033307,6.223600199517962,0.026149962415708217,0.0,-0.1310644384962235,-0.2951601284364219,2.570171127687715,-0.07961473992425919,0.047088342057729674,0.0,450.0149213280175,449.55920692785975,450.38861771301634,450.0028829338275
